sample_id,user_post,golden_response,model_response,token_num,loss,ppl
0,"hi i am okay, a little bit sad though",Okay. I am very sorry to hear that! Do you want to tell me more about that?,I'm sorry to hear that. How have you been feeling?,21,1.597147624,4.938924642
0,Well with the holidays coming up i have been very stressed and nervous about what i am going to do,I really feel you there. Holidays are so hard.. especially with the way this year has been. Anything specific?,I'm sorry to be so sorry to listen to that. What's going on?,25,2.94567749,19.02354629
0,I have no choice but to go live at home over the break but I am very scared about it,Do you feel scared for your own self? Or of the situation in general? I'm sorry to hear that. Relationships with parents can be very difficult sometimes.,I understand. I'm sure you will be fine. I think you will find it hard to get through the holidays though.,34,2.589438046,13.32228299
0,Do you feel scared for your own self? Or of the situation in general? I'm sorry to hear that. Relationships with parents can be very difficult sometimes.,I'm around college age as well and also live at home. So I can understand your struggle.,It seems that you are in a very difficult situation. Is there something specific you would like to talk about?,21,2.617919559,13.70717692
0,and i have no car to escape it,"It's like we live the same life. I also have no car to escape! It seems so small, but it's such a huge stressor when you feel trapped in an environment you're not positive in. I feel your pain and I empathize with you completely.",That's an incredibly difficult situation. Have you tried to talk to a friend?,45,2.940222846,18.92006211
0,"It's like we live the same life. I also have no car to escape! It seems so small, but it's such a huge stressor when you feel trapped in an environment you're not positive in. I feel your pain and I empathize with you completely.",It'll be hard but I hope you can make it through it throughout the holidays and enjoy yourself some. Are there any pros to going back home? Any pets?,Are you in college or a senior? I think you are more worried about your life and your house than your job.,34,3.172716926,23.87225548
0,Not many to be honest. I have a hamster but he is at school with me so nothing at home to go back to,"It sounds like Covid- 19 is going to be a personal stressor for you. It's such a strange thing to have to live with already, the pandemic, and i'm sorry that it might end up pushing you where you don't want to be.",Do you have pets or a pet? Do you have a pet store?,45,3.060177273,21.3313383
0,"It sounds like Covid- 19 is going to be a personal stressor for you. It's such a strange thing to have to live with already, the pandemic, and i'm sorry that it might end up pushing you where you don't want to be.",Could you bring your hamster home with you? Even the smallest things could help a place feel more loving,I can understand. Do you have any pets? Maybe a pet?,22,3.557115381,35.06191089
0,Yes i am bringing him home with me so that is my little piece of joy that is coming along,I don't think you're selfish at all. You have feelings you are entitled to have and are expressing them which is healthy and I encourage that behavior!,Do you have any pets? I would bring your dog or cat and we can talk about how you are feeling.,32,2.639045238,13.99983073
0,I don't think you're selfish at all. You have feelings you are entitled to have and are expressing them which is healthy and I encourage that behavior!,"Good! I know how hard this situation can be. Very nerve wracking. The smallest things, even a hamster, can be so beneficial.","It is a very strange situation, but I think it is best that you don t feel selfish about it.",31,2.726564469,15.28030079
0,Well thank you that does help me to feel better. Yes I am happy to bring him home with me and hoping I can have my niece over to intro duce her to him,You sound like a very determined person in making this trip as stress free as possible. I commend you for that! Maybe you could have your niece over often to play with your hamster just to soften the stress of being there,I am glad I could be of some help.,45,2.930082533,18.72917621
0,It is surely my goal! I appreciate your kind words. I would love that if I had a car I could do that but I am not sure how much she will be able to come to my house. I am going to try though!,Is Uber an option for you? I know there's a lot of rideshare services but they're not always financially reasonable. But that could be a way to get away if you ever need too!,I am glad to hear that! It is good that you are here to help.,41,2.901330715,18.19834608
0,"that is very true i didn't even think of that to be honest! I may use that along the way, thank you for the reminder!",Sometimes I forget little things like that to help myself whenever I get too involved in the emotional aspect of things. I'm glad I could suggest it to you!,"If you ever feel down again, let me know!",33,2.802991694,16.49391778
0,Thank you! Well i appreciate your help a lot and hope you have a great day!,Of course! I hope you do as well and happy holidays!,You're welcome! I hope you feel better soon!,14,1.782301494,5.943519665
1,Hai. My name is Tom and i really need your help.,ok tell me,I am so sorry to hear that. Is there anything specific that you are struggling with?,4,4.034025192,56.48782862
1,I am really sad and stressed up knowing that I am soon losing my job due to the effects of corona virus. For sure if I lose my job now I might go to depression because I have a family to take care of.,"ok, don't worry friend,","I'm so sorry to hear that. I know that it is hard to see through this, but I know you are going through this.",8,3.572270393,35.5973214
1,Are there any ways you know that could help me convince my boss that that it is not the right time to cut down on manpower?,lot of people lose the job in this corona time,I believe you are being very helpful and have been really supportive of me.,12,4.660229365,105.6603142
1,lot of people lose the job in this corona time,just explain you situation.,"You are very welcome, I am glad that I could be of assistance.",6,5.342691422,209.0746618
1,I am worried that losing a job may cause me a lot of harm since my bills depend on my current job.,"definitely, you have to try to get the other work",I would suggest trying to avoid spending too much on your bills and get some funds for your new car.,13,3.281791687,26.62343085
1,"definitely, you have to try to get the other work","don't give up your confident,",you should also try to find other hobbies and enjoy the scenery.,8,4.264591217,71.13583491
1,"don't give up your confident,",belive your self,It is good to get back to work. I have been in that situation myself.,5,4.978530884,145.2608198
1,Sure I do believe myself.,you know any other self work?,Do you feel like you have a good plan of action?,8,4.769284248,117.8348713
1,Do you happen to know any that can sustain me?,i am not sure,"yes. I do, I work from home and I have a great resume and I can see where you are coming from.",5,1.988462257,7.304292999
1,i am not sure,what's your occupation?,I hope you can find another job. It is important that you are not being treated like a failure.,6,3.216077169,24.93013141
1,I am an architect,"definitely, don't worry..",That's great. Have you thought about getting a new job? It might be a good idea to do it,8,3.297680378,27.04982073
1,"definitely, don't worry..","oh, ok",yes. it is a difficult time to be in a position that you want to be,4,3.431055069,30.90923693
1,"Sure, Thanks a lot for your kind words.",ok thank you friend bye.. god bless you..,"that's great, I wish you the best in the future",11,3.694850575,40.23955934
1,"God bless you too friend, please keep safe. Bye.",bye...,bye.. i am done here. Bye.. bye,3,2.255779743,9.54273129
2,Hello how are you doing today?,I'd love to chat with you! What's been on your mind?,"Hello, how are things going for you? I am feeling a little bit down as well.",16,1.50128448,4.487449409
2,I'm having problems with friends - or more precisely the lack of them. I don't have any.,"Oh I see. You feel as though you don't have any friend's currently? I totally get that. I feel like that a lot too, especially in these weird times we are going through. It's so hard to see people and keep relationships right now",I understand that. I have had friends that have been in a similar situation as well.,45,2.789522468,16.27324695
2,Well it's more that I think I've never had friends. Not anyone I can confide in or laugh with,That's a really hard thing to be going through. I'm sorry to hear that. Do you have any really close family members that you are able to confide in?,I know how that can feel. It is a hard time to find friends and I know how hard it can be to find a good person.,36,1.576248593,4.836777014
2,I don't think I'd want to let them know how unhappy I am to be honest,"Oh I see. Well personally, when I was going through a hard time and I felt like I didn't have any friends, I found a couple pretty cool apps that helped me out! IT sounds crazy, but there are apps specifically for finding friends. They are kind of like dating apps but it's 100% meant for friends so everyone on them has the same intentions you do. I actually found a couple close friends through apps like that. Have you heard about those or looked into them?",I understand how you feel. I am sure they will understand how they are feeling.,45,2.854560343,17.3668001
2,I've never heard of friendship apps to be honest,Yeah! They are a really good way to connect with people that you share a lot of similar interests with.,I am sure you will find a way to find a group that is different to you and you will get over it. I know it's hard but it is worth it.,23,2.004951809,7.425736033
2,Yeah! They are a really good way to connect with people that you share a lot of similar interests with.,But it sounds to me that you are pretty overall sad right now. You don't want family to know about how sad you are. Do you think it's more than just feeling like you don't have any friends?,"I'm glad that you have found a friend who you can connect with. Are you interested in making friends, or do you think it would be a great idea to do that?",45,2.500567457,12.18940897
2,"I'd really like someone local though, someone who I could meet up with face to face and who knew my town","On most of the apps, it connects you with people in your town!",I can understand how sad that is. You have friends that you know are there for you. It sounds like you are feeling a bit sad about your friends. Are you there?,16,3.532358408,34.20454083
2,"On most of the apps, it connects you with people in your town!",people close by,So you're feeling sad that you don't have friends in your city?,4,6.01547575,409.7207172
2,The problem is that I lack the courage to go out and meet people.,"Well personally, I have struggled with putting myself down a lot and blaming myself for things that I shouldn't blame myself for. You shouldn't blame yourself for not having the courage to go meet people, or blame yourself for not having any friends! And if that is what you are struggling with, then I think the apps would be a really good first step for you! You can create those bonds and connections with people close by to you on there first, and then when you feel comfortable enough with them you can meet up",I can understand how you feel. There is always someone close to you who could be willing to talk to you about your problems.,45,2.738452488,15.46303733
2,"Well personally, I have struggled with putting myself down a lot and blaming myself for things that I shouldn't blame myself for. You shouldn't blame yourself for not having the courage to go meet people, or blame yourself for not having any friends! And if that is what you are struggling with, then I think the apps would be a really good first step for you! You can create those bonds and connections with people close by to you on there first, and then when you feel comfortable enough with them you can meet up",That way it's less awkward to hangout with someone you don't really know,That's good to hear! Have you tried speaking to people in person?,17,2.833966872,17.01281481
2,"oh you mean chat online first, before actually meeting in person?","Yeah, that is what is great about those friendship apps. You can get comfortable with them before you hangout :)",I think that might be a good idea. You should be able to connect with people you donno know and know how to connect.,24,3.142333349,23.15783918
2,That's so cool. Thanks for your help,"Yeah of course! I hope this helps you, and I wish you the best during these weird times :)",You're very welcome! I hope you have a good day and stay safe!,22,2.357852762,10.56823456
3,Hello,Good Afternoon,"Hi, how are you today? I am doing well.",4,4.752243996,115.8439464
3,Good Afternoon,How are you doing troday?,How are you doing? It's been a pleasure chatting with you!,8,3.872210741,48.04849152
3,I am Ok thanks but have an unusual issue. I think my girlfriend may be cheating on me but I'm too scared to do anything about it as I don't want her to leave me. I feel ashamed of myself but I can't help it,Being in a relationship with someone when you suspect unfaithful behavior is a rough thing to go through.,I'm sorry to hear that. I am sure you will find that you are doing a great job.,22,2.741091642,15.50390056
3,Yes it is but I should be leaving her and moving on. Problem is she is a 9 and I'm a 5 and I love her. Pretty sure she is cheating though so hopefully if I ignore it she may just leave things as they are.,"I've dealt with the same problem with my partner more than once. I love him very much and I found him to be a 9 to my 5 as well. However, the question of whether he was cheating or not was destroying my trust in him and everyone else not to mention what self-respect I had... I had to break down and talk to him about it",You can try to keep your distance and tell her that you love her and she will find a way to make you feel better.,45,2.707488166,14.99157184
3,What happened out of interest when you had the conversation?,Ignoring this will NOT help things. There is NO relief in pretending a question or concern does not exist.,I had a conversation with him and he was a bit upset about it. I think he was upset with me and made excuses for him and then did not apologize.,23,4.368660305,78.93780823
3,Ignoring this will NOT help things. There is NO relief in pretending a question or concern does not exist.,"Like I said the question has arisen more than once. The first time he owned to talking to other women, but nothing more. Since that time, he denies everything.",It is possible you are just avoiding her because you are not feeling as well as you would like to feel.,35,3.848787144,46.93610197
3,I know. I'm a typical man and I like the feeling when she is on my arm. I feel like the cat that has got the cream. It's superficial and sad I know. I knew this would never last. She is just too attractive for me. Everyone told me Iwas 'punching above my weight' and now they will all be laughing if it ends.,"Honestly, its not anyone else's business. IF you're suspicions are in fact correct, then you've got to see that a loving and faithful 5 is better than a heart-breaking 10. However should you find that maybe the devils of insecurities are tricking you into thinking that she's cheating, then remember that what the two of you share o=is FOR THE TWO of you. Its a relationship, not a community project! Even mu advice, albeit in the air to help you best I can. is not more important that what matters most to YOU and HER!","How long have you been married? I have been married for almost 10 years. I've had a few friends that I've talked to about it, and it has been a very positive experience for me too.",45,4.351700507,77.6103277
3,"Honestly, its not anyone else's business. IF you're suspicions are in fact correct, then you've got to see that a loving and faithful 5 is better than a heart-breaking 10. However should you find that maybe the devils of insecurities are tricking you into thinking that she's cheating, then remember that what the two of you share o=is FOR THE TWO of you. Its a relationship, not a community project! Even mu advice, albeit in the air to help you best I can. is not more important that what matters most to YOU and HER!","Curiously, why do you think she's cheating?","I know you are feeling stressed, but I think you are doing the right thing. I would recommend that you take the time to relax and take your heart out of your chest.",12,2.476809025,11.90322087
3,"I'm almost certain of it, she is super protective of her phone and never used to be. She is always texting and vague when I ask who she is messaging. She goes away with work and when she does she rarely messages me. Recently she said when was going way for a work trip for three nights but when I called her office her colleague said they got back after two.","Hmm... So have you two live together? How long has this kind of behavior persisted? When you ask her about this behavior, how do you present the question and how does she react? Finally, how often do you talk with her about the situation?",I can understand your concern. It's not a matter of whether she is cheating or not. It is a matter about whether you're still friends with her.,45,3.551370917,34.8610764
3,That's just it. I kind of know she is cheating but I haven't approached it with her because I'm scared see will just leave and I'll be a laughing stock. I suppose I'm a joke either way!,"Don't get me wrong, I completely understand why you have suspicions. Really I think anyone would in the same shoes... However, as humans, we tend to either assume the best or the worst of others. There's always a margin of error present as a variable in such situations.",I understand. It's hard to make friends when you are scared of your friends. I think it's important to keep in mind that this is not the only thing that is bothering you.,45,3.425874498,30.7495235
3,very true. I suppose I have just assumed at this stage with no real evidence. do you think I should just talk to her?,Forgive me if this comes off as disrespectful... I only want to help you.,Maybe you should ask her? It sounds like you are still very trusting of her and that you are willing to talk to others about the issue.,18,3.063088735,21.39353417
3,not at all. I appreciate your candour.,"But if you feel as though you're a joke regardless, then why stay in a relationship where you're getting hurt? I know that you don't want to lose the beauty but would you not be happier with loyalty?",I know this is a tough situation but I believe that you can do it!,45,3.174555122,23.91617771
3,All this is tied up with who and I know I'm valuing the wrong things. You are right actually. I think some of this comes from my low self-esteem. having a 9 helps with that. but maybe I need to deal with it directly.,"I wholly believe you should gently but steadfastly confront her. I absolutely do not mean to suggest a dispute or argument. That will not help either. Simply ask her about the things that you KNOW aren't acceptable; lying about how long her trip was is one of them. Also, its okay to talk about how that stuff makes you feel, but try not to project your feelings as her fault. I know that it seems like they are... But she didn't MAKE you feel any specific way, even if her ACTIONS influenced how you were already feeling.",What are your feelings about the situation that you feel you have to deal directly with?,45,4.40057373,81.49761292
4,I am just kind of anxious and stressed out with impending academic deadlines,i am fine thanks for asking,I understand how you are feeling. I have had my exam results come in the mail today.,7,2.74092865,15.50137376
4,that's good,"Aw i am sorry to hear that, school deadlines can be very stressful.",I understand. It is good to have a break. Do you have a plan in mind?,16,2.199895382,9.024069369
