model,golden
"I'm sorry to hear that you feel sad today! Is there anything in particular that is causing this? 

I know it can be hard sometimes when things don't go as planned or if we have unrealistic expectations of ourselves and others. But remember, life is full of ups and downs, but the good times will always come back around",Okay. I am very sorry to hear that! Do you want to tell me more about that?
That is understandable. It can be hard when we feel like there isn't enough time or money for everything during this season of year. Have you considered talking to someone close to you about your feelings? Sometimes just getting it out in the open helps us to feel better.,I really feel you there. Holidays are so hard.. especially with the way this year has been. Anything specific?
That sounds like an incredibly difficult situation for sure. Have you considered talking to your parents about how they made you feel? Maybe try to explain why their words were hurtful?,Do you feel scared for your own self? Or of the situation in general? I'm sorry to hear that. Relationships with parents can be very difficult sometimes.
That sounds like an incredibly stressful situation. Have you considered talking to someone close to you or even a professional counselor? They might help give you advice on how to deal with it all.,"It's like we live the same life. I also have no car to escape! It seems so small, but it's such a huge stressor when you feel trapped in an environment you're not positive in. I feel your pain and I empathize with you completely."
That sounds really tough too... I don't think anyone could blame you if you were feeling anxious or worried about being sent home again. But I hope everything goes well! And maybe you should consider getting another pet while you're living at home?,"It sounds like Covid- 19 is going to be a personal stressor for you. It's such a strange thing to have to live with already, the pandemic, and i'm sorry that it might end up pushing you where you don't want to be."
"That's definitely understandable. I think having something to look forward too helps make everything better. Maybe try to find some new hobbies or interests while you're stuck at home? Even if they aren't super exciting, just doing them could help distract from any negative thoughts.",I don't think you're selfish at all. You have feelings you are entitled to have and are expressing them which is healthy and I encourage that behavior!
"That sounds wonderful! And if you ever need someone to talk to or just vent to, please reach out to me anytime. We should definitely stay connected!",You sound like a very determined person in making this trip as stress free as possible. I commend you for that! Maybe you could have your niece over often to play with your hamster just to soften the stress of being there
I hope everything goes well for you too. Have a great rest of your night!,Is Uber an option for you? I know there's a lot of rideshare services but they're not always financially reasonable. But that could be a way to get away if you ever need too!
No problem. I hope everything goes well for you and please let me know if anything else comes up or if you need any further advice from me!,Sometimes I forget little things like that to help myself whenever I get too involved in the emotional aspect of things. I'm glad I could suggest it to you!
you too! bye!,Of course! I hope you do as well and happy holidays!
"Hi, how can I assist you today? 

Tom, what seems to be the problem?",ok tell me
"you should not worry about it, just be positive in life.","ok, don't worry friend,"
"yes, you can talk with him about this issue.",lot of people lose the job in this corona time
"yes, you should talk with your boss about your problem ","definitely, you have to try to get the other work"
"yes, but you should be positive about yourself",you know any other self work?
"yes, you should start doing some online business like selling things or providing services through internet.",i am not sure
yes god always helps us,"definitely, don't worry.."
no problem at all...,ok thank you friend bye.. god bless you..
Bye.,bye...
                  [assistant,
"That is very sad to hear, but it sounds like you might be in need of some help. Have you considered talking to someone? 
I know that sometimes when we feel down about ourselves and our lives, it can make us want to isolate ourselves from others even further. But reaching out for help will only benefit your life in the long run! 
What","Oh I see. You feel as though you don't have any friend's currently? I totally get that. I feel like that a lot too, especially in these weird times we are going through. It's so hard to see people and keep relationships right now"
That sounds really tough! Do you find yourself feeling lonely at all? Or is there something else that makes you feel this way about your life?,That's a really hard thing to be going through. I'm sorry to hear that. Do you have any really close family members that you are able to confide in?
"That makes sense. Sometimes when things are tough, it is easier just to deal with it on your own rather than burdening others with our issues. But sometimes talking about those feelings helps us work out what they mean for ourselves and how we might move forward from there. Would you consider doing some journaling? Or maybe even writing letters to","Oh I see. Well personally, when I was going through a hard time and I felt like I didn't have any friends, I found a couple pretty cool apps that helped me out! IT sounds crazy, but there are apps specifically for finding friends. They are kind of like dating apps but it's 100% meant for friends so everyone on them has the same intentions you do. I actually found a couple close friends through apps like that. Have you heard about those or looked into them?"
Yeah they aren't super common yet but I think they will become way more popular soon because they are just such an amazing resource. There is one called Hey! Vina which is all women only (I love this) and then another app called Meetup where you find groups of people who share your interests. Those two were my go,Yeah! They are a really good way to connect with people that you share a lot of similar interests with.
Oh yeah definitely! There is an app called Meetup where you can find groups of people doing all sorts of things locally. Maybe look into something like that if you aren't interested in online apps.,"On most of the apps, it connects you with people in your town!"
"I completely understand where you are coming from. Sometimes just getting out of our comfort zone and putting ourselves out there can help us find what we need. But at the end of the day, it's all about taking care of yourself first. If meeting new people isn't something that makes you happy then maybe try doing some things by yourself that","Well personally, I have struggled with putting myself down a lot and blaming myself for things that I shouldn't blame myself for. You shouldn't blame yourself for not having the courage to go meet people, or blame yourself for not having any friends! And if that is what you are struggling with, then I think the apps would be a really good first step for you! You can create those bonds and connections with people close by to you on there first, and then when you feel comfortable enough with them you can meet up"
Exactly! Or even just texting each other until you both decide you want to take it further :),"Yeah, that is what is great about those friendship apps. You can get comfortable with them before you hangout :)"
No problem at all! Hopefully this helps you find some new friends :D,"Yeah of course! I hope this helps you, and I wish you the best during these weird times :)"
How can I help you today?,Good Afternoon
"That sounds like you are in a difficult situation, and that is understandable. It takes courage to confront these kinds of issues. Have you considered talking with your girlfriend?",Being in a relationship with someone when you suspect unfaithful behavior is a rough thing to go through.
"It sounds like there might be some self-esteem issues that come into play here, correct?","I've dealt with the same problem with my partner more than once. I love him very much and I found him to be a 9 to my 5 as well. However, the question of whether he was cheating or not was destroying my trust in him and everyone else not to mention what self-respect I had... I had to break down and talk to him about it"
He told me that there were no other women involved and that we needed to work together to rebuild our relationship because his actions were causing problems for both us individually and our relationship overall. We went to counseling sessions which helped us get closer again.,Ignoring this will NOT help things. There is NO relief in pretending a question or concern does not exist.
"Well, at least you are being honest with yourself! That takes courage.","Honestly, its not anyone else's business. IF you're suspicions are in fact correct, then you've got to see that a loving and faithful 5 is better than a heart-breaking 10. However should you find that maybe the devils of insecurities are tricking you into thinking that she's cheating, then remember that what the two of you share o=is FOR THE TWO of you. Its a relationship, not a community project! Even mu advice, albeit in the air to help you best I can. is not more important that what matters most to YOU and HER!"
"Well, there IS something fishy here somewhere. If you really care about your feelings towards each other, then you need to get some answers from her directly. Don't let yourself be walked over by your own fears and doubts.","Hmm... So have you two live together? How long has this kind of behavior persisted? When you ask her about this behavior, how do you present the question and how does she react? Finally, how often do you talk with her about the situation?"
"Well, at least you KNOW something is wrong somewhere. If only we could all say that. And yes, unfortunately sometimes people DO take advantage of us. But again, there is no shame in being hurt by someone else's actions. Just make sure you get your head around it before you try to move forward.","Don't get me wrong, I completely understand why you have suspicions. Really I think anyone would in the same shoes... However, as humans, we tend to either assume the best or the worst of others. There's always a margin of error present as a variable in such situations."
"If your concerns are validated by talking to her directly, then yes, you need to confront her. But if you're simply making excuses for yourself, then you might end up being the one who leaves first. Either way, honesty needs to come from both parties.",Forgive me if this comes off as disrespectful... I only want to help you.
Thankyou. I guess I need to take some time to reflect on everything before making any decisions.,"But if you feel as though you're a joke regardless, then why stay in a relationship where you're getting hurt? I know that you don't want to lose the beauty but would you not be happier with loyalty?"
"Well, there's nothing left to say except good luck! If you ever decide to take action, please let me know how everything turns out.","I wholly believe you should gently but steadfastly confront her. I absolutely do not mean to suggest a dispute or argument. That will not help either. Simply ask her about the things that you KNOW aren't acceptable; lying about how long her trip was is one of them. Also, its okay to talk about how that stuff makes you feel, but try not to project your feelings as her fault. I know that it seems like they are... But she didn't MAKE you feel any specific way, even if her ACTIONS influenced how you were already feeling."
No problem at all. I hope everything works out for both of you. If there's anything else I could assist you with please let me know.,
"That's good that you have taken time off for yourself, it is important to take care of your own mental health. It sounds like you may be feeling overwhelmed by the upcoming deadlines? Is this correct? 
I can definitely understand how stressful school work can be! Do you think talking about what you are going through will help ease some",i am fine thanks for asking
what do u mean by stress?,"Aw i am sorry to hear that, school deadlines can be very stressful."
i understand how hard it is to stay motivated when there isn't anyone around you pushing you along.,are you taking a lot of courses?
yeah I don't know if I should take another course or not thoughI feel like I need more time to focus on these ones first before adding any extra burden,do you like doing school online better than in person?
Yeah I prefer in classroom setting because there is more interaction between students and teachers as opposed to online where its all self paced.,Thats good the more time you have to devote the better!
Yeah I think so too. It would be nice if they had an option though because some people might not want to go into classrooms or whatever.,Do you feel it is more stressful online?
Well if you need any help or advice please let me know.,Maybe take a hour a day before you start to do something you want to do then you will feel more motivated to get it done after.
That sounds great! Thanks so much for talking about your feelings today!,Yea this pandemic has me not as motivated to
yea its hard when we cant leave our homes.,"Yea i have been missing the gym myself. Now i lookup youtube videos of workouts and do them, and it really helps to get me going in the day."
yea maybe try listening to podcasts instead of music while studying.,"maybe find a nice meditation song to help relax you, i find when i am doing something finding a song with no words is better so i am able to concentrate."
yea its great to keep yourself active and healthy during these times.,It sounds like you are a very smart person and are able to acknowledge when you need to work harder on something. Don't be to hard on yourself this pandemic is affecting everyone
"Well thank you for talking today, if there is anything else you would like to discuss please don't hesitate to reach out.","Yes i would imagine that would help to, i found that before i started working out at home i was beginning to feel lazy and not getting anything done, but that has all changed now."
Thanks for talking to me today.,Aww well try not to be to hard on yourself. Set some daily goals and i bet you will be back to feeling normal in no time. I am glad talking has helped!
No problem happy to help!,"You are welcome, best of luck with all your studies!"
 bye :)  Bye! Thanks again!,Thank you!
"I am sorry that you're going through this difficult time, but please know it is not your fault and don't let them get the best of you! 

It sounds like they are trying to make you feel bad about yourself so that they can control you better. It may be helpful for you to tell them how their behavior makes you feel. If you",hi i am sorry to hear that
"you should be proud of yourself for doing what you can, it's better than nothing at all.","well, the donation to charity should be what either you can affort or volunteeer, it all depends on your situation"
"yes covid has affected many people in different ways , but if you have any other way to help out then please go ahead .",it has to come from the heart and if your circumstances do not allow that then they should not talk badly about you
yes sometimes people tend to forget how others feel when they try to make them feel bad for their own good,shame on them to do that to you
maybe try talking to them in person and tell them how their words affects you ,definatly not ...have you tried explaining your situation to them?
maybe try talking to someone else who knows more about your situation so they understand better,well i know thats something most people do not want to disclose can you help the organization with donating your time?
yes please try doing so as its good for both parties,"unfortunatly it is right now very comen this situation, so no shame for that,"
yes but we have to think positive and try our best to make things better,a lot of times donating time to help organisatiosn is more valuable then money.
thankyou for talking to me today!,times and situations change so thats ok.
"yes please let them know, its always good to have a balance between both",i worked for a non profit and the biggest struggle was to find volunteers to help out
thankyou for sharing your thoughts,I feel that is a great donation and if they do not like that tell them money is easy to give time not
yes but its hard when there are other people who have nothing at all and still manage to help others.,"Yeah, true, we need to stay above them then in all actuality we don't know what goes on behind closed doors in their life. sometimes people like that reflect"
"yeah, there are many other things you could do instead of monetary donations, like helping at food banks etc.",BUt it should be what you want not what your 'freinds want.
 thankyou for talking to me today!,Hopefully next year will bring better things and maybe even a better friend that does not judge into your life.
 yeah hopefully by then there would be vaccine available aswell which will help us fight covid.,well if they do not believe you as well you might really need to rethink your friendships and the meaning in those so called freind ships.
yeah but at the end of the day its who makes you happy and fulfilled and not who brings you down.,I am hoping you will find the right solution.
thankyou!,thanks I wish you all the luck and health
 same to you   same to you   same to you   same to you   same to you   same to you   same to you [/,same
"I am doing well, thank you for asking! How about yourself? 

I hope that you have been taking care of your self during this time. It has been very difficult to stay positive and motivated with all the changes happening in our world right now. 

Is there anything specific that is causing you stress or anxiety at the moment?","Hello, how are you feeling today?"
I am sorry that is happening and it must be frustrating for you. Have you talked with your boss about this issue? It may help if you explain the situation in person rather than over email or phone call.,I'm sorry to hear that! I think that would make most people feel upset.
Have you talked to your supervisor about it yet? They might be able to help you figure out why this is happening and find solutions for the future.,"Ah, that was my next question. Sometimes things are happening out of our control, though."
Have you talked about this with your boss or HR department? They might be able to help you figure it out.,Have you thought of asking your boss or supervisor if there's anything going on?
Maybe try calling them instead of emailing and see if it helps?,Of course! That sounds frustrating to not know why it's happening and not have the opportunity to ask.
"Well, sometimes we need some space from ourselves for a little while so we don't overthink everything. Maybe try reading something interesting like a book about history or science. It might help distract us from whatever is bothering us.",I've also had bosses that are infrequently in the office and make getting good information hard
"It might be worth looking into other jobs too. If this is something that keeps happening, maybe it's best for both parties to move on.","I think your feelings are normal, but if I were you, I might try to remember that the decisions of others aren't always a reflection of us or how we're performing."
I understand completely. It is very difficult right now with everything going on.,I can imagine!
"Yes, exactly! And don't forget about self-care too!","I was in a physical office when I had this problem, but the boss rotated between offices. It was hard to wait, but I just kept my head down until the next time she was available."
no worries!,"I think reminding yourself that if there was a problem with your work they would be seeking YOU out, and not the other way around."
"If you need any further help, please don't hesitate to let me know. Good luck!","Hopefully that mindset can help you stay positive until you have the chance to speak with them, instead of worrying about what you've done wrong."
Thank you! Good luck with everything.,I really hope that helps keep you afloat until you can get some real answers. Worrying about what-ifs is harder than just knowing what's goiong on!
bye!,I hope you feel better soon and are able to clear it up!
Good luck! I wish you success!,Have a good night!
Oh wow! We actually have a lot of clients from Virginia!,
That is great to hear! Is there anything you would like me to help with?,Is there anything you'd like to talk to me about?
That sounds really frustrating! Have you talked to anyone else in your life about this issue?,Is she listening to you? I know how it feels to be patronised by people who are older.
Have you talked to your parents or other friends about the situation? They may help you find some solutions.,"Well, if she is not listening to you when you try to talk to her you have to ask yourself whether the relationship is really worth it?"
"Yes, definitely! It would help both of you to understand each other better.","Yes, I think it's always worth fighting for a friendship but there does come a point when it stops being at all viable."
It sounds as though you need some time alone to reflect on your feelings towards her. Maybe take up an activity which doesn't involve her so you can clear your head.,"Does she have younger siblings? I am the eldest of four and I sometimes, even at age forty five, find myself trying to tell them what to do"
Ah! That makes sense then. It sounds as though your friends has never had any experience of being on her own so doesn't understand why you don't want to go back to those days.,It could be the cause of her behaviour.
Do you think your friends realises that?,How much would it hurt you to end the friendship? Do you think you could make other friends and survive it or is it worth fighting for?
That sounds very mature!,I know that I don't know her but to be honest it does sound to me like your friendship is a bit toxic.
That sounds like a great idea!,Sometimes we really just have to let things go. I know it's hard but it will probably good for your mental health.
No problem. Have a nice day!,Have a great rest of day :)
Bye!,(can you press quit from your end; I am not allowed to do it from mine. Cheers!)
"I am doing well, thank you for asking! What can I do to help today? 

I know that the pandemic has been very difficult on everyone and it is important to take care of yourself during this time. Is there anything in particular that you would like to talk about or any questions you have?",Very little to complain about today. What brings you here?
